od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,geometry,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status
od_1807,응암,6호선,126.915577,37.598605,pedestrian_support_point,은평구청,서울특별시 은평구 은평로 203-2,126.9304,37.6014,1345.238,POINT (126.9304 37.6014),8735757178,3811678443,11.20363638320314,19.601674622995766,PASS
od_2643,불광,3호선,126.92982,37.610553,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로27길 26,126.9179,37.6181,1345.075,POINT (126.9179 37.6181),5930698997,4580111217,50.209801741355435,4.632684357392194,PASS
od_387,연신내,6호선,126.920625,37.618636,pedestrian_support_point,역촌역.역촌오거리,서울특별시 은평구 서오릉로 71,126.9224,37.6066,1345.028,POINT (126.9224 37.6066),11230505686,3819768031,20.028299588559467,17.810647228287785,PASS
od_743,독바위,6호선,126.933031,37.618456,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로27길 26,126.9178,37.6182,1344.981,POINT (126.9178 37.6182),3824954278,4580111217,2.93341759236071,10.823908717922853,PASS
od_2305,불광,3호선,126.92982,37.610553,mobility_facility,공화춘,서울특별시 은평구 연서로 304,126.9273,37.6225,1344.525,POINT (126.9273 37.6225),5930698997,3823587404,50.209801741355435,15.620863448974749,PASS
od_1347,응암,6호선,126.915577,37.598605,mobility_facility,경희부동산공인중개사사무소,서울특별시 은평구 서오릉로8길 22,126.9238,37.6088,1344.475,POINT (126.9238 37.6088),8735757178,3004846056,11.20363638320314,12.144877296157121,PASS
od_1913,녹번,3호선,126.935756,37.600927,mobility_facility,대한공인중개사사무소,서울특별시 은평구 진흥로13길 13,126.925,37.6095,1344.407,POINT (126.925 37.6095),436867704,3819768571,5.477178362551235,16.26069717571956,PASS
od_2550,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  195-5,126.9148,37.6125,1343.664,POINT (126.9148 37.6125),5930698997,10678140797,50.209801741355435,20.547501959333104,PASS
od_1301,응암,6호선,126.915577,37.598605,mobility_facility,의자23,서울특별시 은평구 신사동 산 48-2,126.9007,37.6011,1342.62,POINT (126.9007 37.6011),8735757178,11224820745,11.20363638320314,24.97466201497164,PASS
od_1105,불광,6호선,126.92939,37.610873,pedestrian_support_point,불광중학교,서울특별시 은평구 불광로 180,126.931,37.6229,1342.415,POINT (126.931 37.6229),5930698997,3823587658,11.603222454866666,29.871010508967732,PASS
od_1296,응암,6호선,126.915577,37.598605,mobility_facility,의자27,서울특별시 은평구 역촌동 산 31-1,126.9021,37.6042,1342.368,POINT (126.9021 37.6042),8735757178,11655568445,11.20363638320314,58.25103755892465,PASS
od_2025,녹번,3호선,126.935756,37.600927,pedestrian_support_point,장애인화장실,서울특별시 은평구 통일로 742,126.9291,37.6118,1342.292,POINT (126.9291 37.6118),436867704,3819768985,5.477178362551235,29.54713057391822,PASS
od_2780,연신내,3호선,126.921038,37.619229,mobility_facility,예성공인중개사사무소,서울특별시 은평구 연서로 99,126.9151,37.6081,1341.857,POINT (126.9151 37.6081),13357342120,10789210630,32.16422242836125,12.851044509350475,PASS
od_2209,불광,3호선,126.92982,37.610553,mobility_facility,03.  불광중학교,서울특별시 은평구 불광로 179-6,126.9311,37.6226,1341.855,POINT (126.9311 37.6226),5930698997,436849329,50.209801741355435,9.70331697127588,PASS
od_2389,불광,3호선,126.92982,37.610553,pedestrian_support_point,빗물받이,서울특별시 은평구 불광로 179-6,126.9311,37.6226,1341.855,POINT (126.9311 37.6226),5930698997,436849329,50.209801741355435,9.70331697127588,PASS
od_999,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로27길 26,126.9174,37.6183,1341.69,POINT (126.9174 37.6183),5930698997,353194179,11.603222454866666,0.8048798633216763,PASS
od_892,불광,6호선,126.92939,37.610873,mobility_facility,09.  동부센트레빌,서울특별시 은평구 응암동  159-3,126.926,37.5991,1340.524,POINT (126.926 37.5991),5930698997,3811327086,11.603222454866666,16.687828035020395,PASS
od_2542,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  22-13,126.9151,37.6076,1340.415,POINT (126.9151 37.6076),5930698997,10789210634,50.209801741355435,16.802029757591384,PASS
od_1190,불광,6호선,126.92939,37.610873,pedestrian_support_point,맨홀,서울특별시 은평구 연서로9길 5-5,126.9151,37.6068,1340.301,POINT (126.9151 37.6068),5930698997,10789210633,11.603222454866666,3.304144455211579,PASS
od_1681,응암,6호선,126.915577,37.598605,pedestrian_support_point,은평구청,서울특별시 은평구 응암동  75-2,126.9304,37.6012,1340.295,POINT (126.9304 37.6012),8735757178,3811678443,11.20363638320314,14.96610055280692,PASS
od_1298,응암,6호선,126.915577,37.598605,mobility_facility,의자28,서울특별시 은평구 역촌동 산 31-1,126.902,37.604,1340.14,POINT (126.902 37.604),8735757178,11655568445,11.20363638320314,34.47780494388014,PASS
od_991,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  172-2,126.9307,37.6229,1339.869,POINT (126.9307 37.6229),5930698997,3823587658,11.603222454866666,9.158863188363053,PASS
od_2749,연신내,3호선,126.921038,37.619229,mobility_facility,형제세탁소,서울특별시 은평구 연서로11길 20-4,126.9134,37.6088,1339.624,POINT (126.9134 37.6088),13357342120,4584669561,32.16422242836125,15.202986423803189,PASS
od_496,독바위,6호선,126.933031,37.618456,mobility_facility,웰빙 누룽지 통닭구이,서울특별시 은평구 통일로 909,126.9197,37.6242,1338.472,POINT (126.9197 37.6242),3824954278,3823587935,2.93341759236071,14.683174459336284,PASS
od_500,독바위,6호선,126.933031,37.618456,mobility_facility,CU은평수안점,서울특별시 은평구 통일로 671,126.9333,37.6064,1338.297,POINT (126.9333 37.6064),3824954278,3811156612,2.93341759236071,21.981989864283936,PASS
od_720,독바위,6호선,126.933031,37.618456,pedestrian_support_point,서울혁신파크,서울특별시 은평구 통일로 671,126.9333,37.6064,1338.297,POINT (126.9333 37.6064),3824954278,3811156612,2.93341759236071,21.981989864283936,PASS
od_733,독바위,6호선,126.933031,37.618456,pedestrian_support_point,은평늘봄장애인자립생활센터,서울특별시 은평구 통일로 671,126.9333,37.6064,1338.297,POINT (126.9333 37.6064),3824954278,3811156612,2.93341759236071,21.981989864283936,PASS
od_498,독바위,6호선,126.933031,37.618456,mobility_facility,금광모터샵,서울특별시 은평구 통일로 920,126.9203,37.625,1338.177,POINT (126.9203 37.625),3824954278,3823588382,2.93341759236071,19.16200122304098,PASS
od_658,독바위,6호선,126.933031,37.618456,pedestrian_support_point,연갈현공판장후문,서울특별시 은평구 갈현동  420-5,126.9191,37.6232,1337.839,POINT (126.9191 37.6232),3824954278,353193935,2.93341759236071,19.844007280952493,PASS
od_2207,불광,3호선,126.92982,37.610553,mobility_facility,부동산재테크공인중개사사무소,서울특별시 은평구 연서로 78,126.9157,37.6062,1337.099,POINT (126.9157 37.6062),5930698997,10789210638,50.209801741355435,24.316972838814074,PASS
od_2120,녹번,3호선,126.935756,37.600927,pedestrian_support_point,역촌역.역촌오거리,서울특별시 은평구 서오릉로 71,126.9224,37.6066,1336.926,POINT (126.9224 37.6066),436867704,3819768031,5.477178362551235,17.810647228287785,PASS
od_1550,응암,6호선,126.915577,37.598605,pedestrian_support_point,빗물받이,서울특별시 은평구 녹번동  79-17,126.9301,37.602,1336.693,POINT (126.9301 37.602),8735757178,2309932442,11.20363638320314,6.06910669456764,PASS
od_904,불광,6호선,126.92939,37.610873,mobility_facility,현대공인중개사사무소,서울특별시 은평구 통일로 598,126.9364,37.6002,1336.56,POINT (126.9364 37.6002),5930698997,8374268026,11.603222454866666,42.45030679999849,PASS
od_751,독바위,6호선,126.933031,37.618456,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로27길 26,126.9179,37.6181,1336.437,POINT (126.9179 37.6181),3824954278,4580111217,2.93341759236071,4.632684357392194,PASS
od_2184,불광,3호선,126.92982,37.610553,mobility_facility,친구공인중개사사무소,서울특별시 은평구 진흥로1길 22,126.9188,37.6023,1336.375,POINT (126.9188 37.6023),5930698997,3819767633,50.209801741355435,17.010539087222877,PASS
od_1633,응암,6호선,126.915577,37.598605,pedestrian_support_point,장애인화장실,"서울특별시 은평구 은평로 204-4, 102동 (응암동, 거성리젠시)",126.9305,37.6006,1336.291,POINT (126.9305 37.6006),8735757178,11955692541,11.20363638320314,14.197521689613636,PASS
od_1785,응암,6호선,126.915577,37.598605,pedestrian_support_point,과속방지턱,서울특별시 은평구 녹번동  79-21,126.9302,37.6017,1336.226,POINT (126.9302 37.6017),8735757178,3811155098,11.20363638320314,20.074536103961766,PASS
od_2337,불광,3호선,126.92982,37.610553,mobility_facility,아네스트공인중개사,서울특별시 은평구 은평로 123,126.9215,37.6005,1335.919,POINT (126.9215 37.6005),5930698997,3811078666,50.209801741355435,23.873968491102772,PASS
od_291,연신내,6호선,126.920625,37.618636,pedestrian_support_point,미주아트빌,서울특별시 은평구 구산동  22-13,126.9149,37.6075,1335.342,POINT (126.9149 37.6075),11230505686,3820984136,20.028299588559467,15.584000617314647,PASS
od_1297,응암,6호선,126.915577,37.598605,mobility_facility,의자26,서울특별시 은평구 역촌동 산 31-1,126.902,37.6039,1335.219,POINT (126.902 37.6039),8735757178,11655568445,11.20363638320314,23.797014702790648,PASS
od_1968,녹번,3호선,126.935756,37.600927,mobility_facility,골드샤인,서울특별시 은평구 은평로 116,126.9207,37.5999,1334.427,POINT (126.9207 37.5999),436867704,3811554559,5.477178362551235,27.263779137397233,PASS
od_2470,불광,3호선,126.92982,37.610553,pedestrian_support_point,불광중학교,서울특별시 은평구 불광로 180,126.9315,37.6225,1334.259,POINT (126.9315 37.6225),5930698997,356265596,50.209801741355435,15.274990889093548,PASS
od_793,불광,6호선,126.92939,37.610873,mobility_facility,친구공인중개사사무소,서울특별시 은평구 진흥로1길 22,126.9188,37.6023,1334.08,POINT (126.9188 37.6023),5930698997,3819767633,11.603222454866666,17.010539087222877,PASS
od_2916,연신내,3호선,126.921038,37.619229,pedestrian_support_point,불광전철역,서울특별시 은평구 통일로 707,126.9304,37.6098,1333.575,POINT (126.9304 37.6098),13357342120,10678122709,32.16422242836125,28.170432316480124,PASS
