od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status,route_id,route_type,node_count,route_length_m,steps_count,flood_feature_count_2022,flood_overlap_length_m_2022,flood_feature_count_2023,flood_overlap_length_m_2023,flood_feature_count_2024,flood_overlap_length_m_2024,flood_feature_count_2025,flood_overlap_length_m_2025,flood_feature_count_unique_total,flood_overlap_length_m_total,flood_overlap_ratio,mobility_facility_count_near_route,support_point_count_near_route,existing_safe_route_overlap_or_proximity_count,baseline_distance,alternative_distance,distance_delta_m,distance_delta_ratio,baseline_flood_overlap_m,alternative_flood_overlap_m,flood_overlap_reduction_m,flood_overlap_reduction_ratio,historical_flood_trace_avoiding_candidate
od_2577,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 통일로 895-2,126.9197,37.6214,1499.228,5930698997,11230505659,50.209801741355435,39.58349013296481,PASS,od_2577_alternative_2,alternative_2,23,1499.456,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,24,16,1497.956,1499.456,1.5,0.001001,0.0,0.0,0.0,,False
od_258,연신내,6호선,126.920625,37.618636,pedestrian_support_point,지하철환기구,서울특별시 은평구 서오릉로 63,126.9235,37.6054,1490.823,11230505686,3811092420,20.028299588559467,15.955167925592756,PASS,od_258_baseline,baseline,48,1694.972,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,17,23,1694.972,,0.0,0.0,0.0,,0.0,0.0,False
od_258,연신내,6호선,126.920625,37.618636,pedestrian_support_point,지하철환기구,서울특별시 은평구 서오릉로 63,126.9235,37.6054,1490.823,11230505686,3811092420,20.028299588559467,15.955167925592756,PASS,od_258_alternative_1,alternative_1,49,1696.175,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,17,23,1694.972,1696.175,1.203,0.00071,0.0,0.0,0.0,,False
od_2582,불광,3호선,126.92982,37.610553,pedestrian_support_point,과속방지턱,서울특별시 은평구 갈현동  459-1,126.916,37.6184,1499.114,5930698997,3823586667,50.209801741355435,9.300003614407768,PASS,od_2582_baseline,baseline,38,1671.777,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,28,18,1671.777,,0.0,0.0,0.0,,0.0,0.0,False
od_2582,불광,3호선,126.92982,37.610553,pedestrian_support_point,과속방지턱,서울특별시 은평구 갈현동  459-1,126.916,37.6184,1499.114,5930698997,3823586667,50.209801741355435,9.300003614407768,PASS,od_2582_alternative_1,alternative_1,34,1675.136,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,28,18,1671.777,1675.136,3.359,0.002009,0.0,0.0,0.0,,False
od_259,연신내,6호선,126.920625,37.618636,pedestrian_support_point,지하철환기구,서울특별시 은평구 서오릉로 63,126.9235,37.6054,1490.823,11230505686,3811092420,20.028299588559467,15.955167925592756,PASS,od_259_baseline,baseline,48,1694.972,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,17,23,1694.972,,0.0,0.0,0.0,,0.0,0.0,False
od_259,연신내,6호선,126.920625,37.618636,pedestrian_support_point,지하철환기구,서울특별시 은평구 서오릉로 63,126.9235,37.6054,1490.823,11230505686,3811092420,20.028299588559467,15.955167925592756,PASS,od_259_alternative_1,alternative_1,49,1696.175,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,17,23,1694.972,1696.175,1.203,0.00071,0.0,0.0,0.0,,False
od_265,연신내,6호선,126.920625,37.618636,pedestrian_support_point,불광역.불광1동주민센터,서울특별시 은평구 통일로 684,126.9323,37.6091,1477.41,11230505686,5281059749,20.028299588559467,26.60907685078538,PASS,od_265_baseline,baseline,29,1597.115,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,32,31,1597.115,,0.0,0.0,0.0,,0.0,0.0,False
od_265,연신내,6호선,126.920625,37.618636,pedestrian_support_point,불광역.불광1동주민센터,서울특별시 은평구 통일로 684,126.9323,37.6091,1477.41,11230505686,5281059749,20.028299588559467,26.60907685078538,PASS,od_265_alternative_1,alternative_1,30,1599.997,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,34,32,1597.115,1599.997,2.882,0.001805,0.0,0.0,0.0,,False
od_2802,연신내,3호선,126.921038,37.619229,mobility_facility,정관장,서울특별시 은평구 진흥로 196,126.9312,37.6085,1490.975,13357342120,10678122748,32.16422242836125,14.10087479940482,PASS,od_2802_baseline,baseline,32,1529.726,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,29,30,1529.726,,0.0,0.0,0.0,,0.0,0.0,False
od_2807,연신내,3호선,126.921038,37.619229,mobility_facility,쿠아레비,서울특별시 은평구 진흥로 101,126.9224,37.6059,1484.255,13357342120,10789220052,32.16422242836125,10.869712515046412,PASS,od_2807_baseline,baseline,46,1723.654,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,11,13,1723.654,,0.0,0.0,0.0,,0.0,0.0,False
od_2817,연신내,3호선,126.921038,37.619229,mobility_facility,역촌역,서울특별시 은평구 서오릉로 63,126.923,37.606,1478.46,13357342120,8460926747,32.16422242836125,11.080562328111156,PASS,od_2817_baseline,baseline,47,1702.881,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,14,28,1702.881,,0.0,0.0,0.0,,0.0,0.0,False
od_2817,연신내,3호선,126.921038,37.619229,mobility_facility,역촌역,서울특별시 은평구 서오릉로 63,126.923,37.606,1478.46,13357342120,8460926747,32.16422242836125,11.080562328111156,PASS,od_2817_alternative_1,alternative_1,48,1704.084,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,14,28,1702.881,1704.084,1.203,0.000706,0.0,0.0,0.0,,False
od_2864,연신내,3호선,126.921038,37.619229,pedestrian_support_point,장애인화장실,서울특별시 은평구 서오릉로 63,126.923,37.606,1478.46,13357342120,8460926747,32.16422242836125,11.080562328111156,PASS,od_2864_baseline,baseline,47,1702.881,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,14,28,1702.881,,0.0,0.0,0.0,,0.0,0.0,False
od_2864,연신내,3호선,126.921038,37.619229,pedestrian_support_point,장애인화장실,서울특별시 은평구 서오릉로 63,126.923,37.606,1478.46,13357342120,8460926747,32.16422242836125,11.080562328111156,PASS,od_2864_alternative_1,alternative_1,48,1704.084,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,12,14,28,1702.881,1704.084,1.203,0.000706,0.0,0.0,0.0,,False
