"od","route_role","origin","destination","through_station","station_sequence","station_line_sequence","line_sequence","total_distance","totalReqHr_raw","transfer_count","segment_count","flood_unique_total","flood_station_sum","flood_duplicates_removed","missing_elevator_station_count","all_stations_have_elevator","mobility_facility_count","pedestrian_safe_route_linestring_count","pedestrian_support_point_count","distance_delta","req_hr_raw_delta","flood_unique_reduction","valid_moveon_alternative"
"불광->독바위","alternative","불광","독바위","연신내","불광>독바위>연신내>연신내>불광>불광>독바위","6호선>6호선>6호선>3호선>3호선>6호선>6호선","6호선>3호선","4781","975","2","6","142","299","157","0","True","114","137","263","3881","885","-73","False"
"불광->독바위","alternative","불광","독바위","응암","불광>독바위>연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선","6호선>2호선>3호선","28731","3054","3","31","160","252","92","24","False","121","177","262","27831","2964","-91","False"
"불광->연신내","baseline","불광","연신내",,"불광>연신내","3호선>3호선","3호선","1300","90","0","1","91","91","0","0","True","43","44","91",,,,
"불광->연신내","alternative","불광","연신내","녹번","불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>연신내","3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","3호선","20700","1710","1","20","94","120","26","16","False","86","137","175","19400","1620","-3","False"
"불광->연신내","alternative","불광","연신내","독바위","불광>독바위>연신내","6호선>6호선>6호선","6호선","2300","220","0","2","139","139","0","0","True","48","56","109","1000","130","-48","False"
"불광->연신내","alternative","불광","연신내","응암","불광>독바위>연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>연신내","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","29031","2832","2","30","163","251","88","24","False","122","159","242","27731","2742","-72","False"
"불광->응암","baseline","불광","응암",,"불광>독바위>연신내>구산>응암","6호선>6호선>6호선>6호선>6호선","6호선","4700","420","0","4","157","157","0","1","False","67","81","133",,,,
"불광->응암","alternative","불광","응암","녹번","불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위>연신내>구산>응암","3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선>6호선>6호선>6호선","3호선>6호선","24200","2262","2","24","160","209","49","17","False","129","199","265","19500","1842","-3","False"
"연신내->녹번","baseline","연신내","녹번",,"연신내>불광>녹번","3호선>3호선>3호선","3호선","2400","180","0","2","94","94","0","0","True","55","78","109",,,,
"연신내->녹번","alternative","연신내","녹번","독바위","연신내>불광>불광>독바위>연신내>연신내>불광>녹번","3호선>3호선>6호선>6호선>6호선>3호선>3호선>3호선","3호선>6호선","6281","1065","2","7","145","324","179","0","True","146","178","309","3881","885","-51","False"
